Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
California State University-Dominguez Hills,CA,Public,55081,
Hofstra University,NY,"Private, nonprofit",55054,
California State University-San Marcos,CA,Public,54985,
Kean University,NJ,Public,54749,
CUNY Lehman College,NY,Public,54674,
St. John Fisher University,NY,"Private, nonprofit",54602,
Quinnipiac University,CT,"Private, nonprofit",54574,
University of Illinois Urbana-Champaign,IL,Public,54570,
University of Rhode Island,RI,Public,54524,
California State University-Stanislaus,CA,Public,54501,
University of Colorado Denver/Anschutz Medical Campus,CO,Public,54500,
Connecticut College,CT,"Private, nonprofit",54495,
University of Maryland Global Campus,MD,Public,54444,
Baylor University,TX,"Private, nonprofit",54367,
University of California-Irvine,CA,Public,54299,
Brigham Young University,UT,"Private, nonprofit",54290,
State University of New York at Plattsburgh,NY,Public,54281,
University of Colorado Boulder,CO,Public,54085,
University of Massachusetts-Lowell,MA,Public,54039,
Duquesne University,PA,"Private, nonprofit",54025,
CUNY Brooklyn College,NY,Public,54014,
Salisbury University,MD,Public,53906,
The University of Texas at Austin,TX,Public,53860,
University of Rochester,NY,"Private, nonprofit",53702,
SUNY Old Westbury,NY,Public,53652,
Wabash College,IN,"Private, nonprofit",53638,
St. Mary's College of Maryland,MD,Public,53504,
Nazareth University,NY,"Private, nonprofit",53423,
Framingham State University,MA,Public,53400,
University of Massachusetts-Boston,MA,Public,53347,
Flagler College,FL,"Private, nonprofit",53263,
California State University-Channel Islands,CA,Public,53200,
University of Wisconsin-Madison,WI,Public,53197,
Towson University,MD,Public,53164,
California State University-East Bay,CA,Public,53147,
College of Staten Island CUNY,NY,Public,53083,
Lafayette College,PA,"Private, nonprofit",53050,
Temple University,PA,Public,53018,
Utah Tech University,UT,Public,52975,
Kenyon College,OH,"Private, nonprofit",52945,
Smith College,MA,"Private, nonprofit",52938,
Lamar University,TX,Public,52897,
Stockton University,NJ,Public,52809,
University of New Hampshire-Main Campus,NH,Public,52697,
University of New Hampshire at Manchester,NH,Public,52697,
University of New Hampshire College of Professional Studies Online,NH,Public,52697,
Wheaton College,IL,"Private, nonprofit",52647,
DePaul University,IL,"Private, nonprofit",52608,
Florida State University,FL,Public,52602,
University of North Texas,TX,Public,52576,
Valparaiso University,IN,"Private, nonprofit",52439,
California Lutheran University,CA,"Private, nonprofit",52428,
California State University-Bakersfield,CA,Public,52420,
Seattle Pacific University,WA,"Private, nonprofit",52378,
California State University-Los Angeles,CA,Public,52259,
Saint Joseph's University - Philadelphia,PA,"Private, nonprofit",52137,
Purdue University-Main Campus,IN,Public,52053,
University of Georgia,GA,Public,51988,
Metropolitan State University of Denver,CO,Public,51955,
California State University-Fullerton,CA,Public,51845,
College of Saint Benedict,MN,"Private, nonprofit",51753,
University of South Alabama,AL,Public,51718,
St. Joseph's University-New York,NY,"Private, nonprofit",51715,
College of Charleston,SC,Public,51705,
University of Iowa,IA,Public,51679,
Rider University,NJ,"Private, nonprofit",51521,
Longwood University,VA,Public,51485,
University at Buffalo,NY,Public,51385,
Allegheny College,PA,"Private, nonprofit",51381,
