Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Cazenovia College,NY,"Private, nonprofit",44123,
SUNY Brockport,NY,Public,44092,
California College of the Arts,CA,"Private, nonprofit",44012,
Syracuse University,NY,"Private, nonprofit",43988,
University of South Dakota,SD,Public,43945,
Indiana University-Bloomington,IN,Public,43816,
University of North Florida,FL,Public,43804,
Arkansas State University,AR,Public,43758,
Virginia Commonwealth University,VA,Public,43690,
Tarleton State University,TX,Public,43665,
Pacific Lutheran University,WA,"Private, nonprofit",43650,
University at Buffalo,NY,Public,43584,
Framingham State University,MA,Public,43582,
Montclair State University,NJ,Public,43564,
California State University-Bakersfield,CA,Public,43534,
University of Southern Maine,ME,Public,43514,
Louisiana State University and Agricultural & Mechanical College,LA,Public,43364,
Smith College,MA,"Private, nonprofit",43354,
California State University-Long Beach,CA,Public,43349,
University of Alabama in Huntsville,AL,Public,43321,
University of Arizona,AZ,Public,43314,
University of Minnesota-Morris,MN,Public,43305,
Florida Gulf Coast University,FL,Public,43271,
Westfield State University,MA,Public,43248,
University of Iowa,IA,Public,43192,
University of Alabama at Birmingham,AL,Public,43138,
University of Puget Sound,WA,"Private, nonprofit",43032,
Western Carolina University,NC,Public,43029,
Spring Arbor University,MI,"Private, nonprofit",43021,
Indiana University of Pennsylvania,PA,Public,43017,
University of Wisconsin-Eau Claire,WI,Public,42995,
California State University-Northridge,CA,Public,42904,
San Francisco State University,CA,Public,42868,
The New School,NY,"Private, nonprofit",42798,
Lewis & Clark College,OR,"Private, nonprofit",42788,
University of Wisconsin-Stevens Point,WI,Public,42771,
George Fox University,OR,"Private, nonprofit",42759,
University of North Georgia,,Public,42745,
Northern Kentucky University,KY,Public,42684,
University of Arkansas,AR,Public,42681,
Ball State University,IN,Public,42594,
University at Albany,NY,Public,42540,
Metropolitan State University of Denver,CO,Public,42490,
Georgia State University,GA,Public,42454,
Art Institute of Seattle (The),,"Private, for-profit",42408,
CUNY Brooklyn College,NY,Public,42362,
Pratt Institute-Main,NY,"Private, nonprofit",42282,
University of Wisconsin-Platteville,WI,Public,42271,
Saginaw Valley State University,MI,Public,42270,
University of North Carolina Wilmington,NC,Public,42192,
Columbia College Chicago,IL,"Private, nonprofit",42176,
Temple University,PA,Public,42126,
University of West Florida,FL,Public,42115,
Indiana University-Southeast,IN,Public,42084,
North Carolina Central University,NC,Public,42067,
University of Wisconsin-Green Bay,WI,Public,41997,
California State University-Sacramento,CA,Public,41969,
Eastern Connecticut State University,CT,Public,41933,
University of Illinois Chicago,IL,Public,41924,
Rhode Island College,RI,Public,41883,
University of Central Arkansas,AR,Public,41853,
Cornell University,NY,"Private, nonprofit",41784,
University of North Carolina at Chapel Hill,NC,Public,41722,
University of Wisconsin-River Falls,WI,Public,41705,
Jacksonville State University,AL,Public,41659,
Messiah University,PA,"Private, nonprofit",41649,
Indiana University-Indianapolis,IN,Public,41629,
The University of Texas at San Antonio,TX,Public,41550,
University of Nebraska-Lincoln,NE,Public,41549,
University of Kentucky,KY,Public,41406,
University of North Carolina at Charlotte,NC,Public,41383,
Tufts University,MA,"Private, nonprofit",41365,
Lesley University,MA,"Private, nonprofit",41320,
Colorado State University-Fort Collins,CO,Public,41309,
Arizona State University Campus Immersion,AZ,Public,41265,
Arizona State University Digital Immersion,,Public,41265,
Eastern Michigan University,MI,Public,41225,
Savannah College of Art and Design,GA,"Private, nonprofit",41153,
Stockton University,NJ,Public,41137,
University of Delaware,DE,Public,41103,
The University of Alabama,AL,Public,41100,
New Jersey City University,NJ,Public,41077,
University of Nevada-Reno,NV,Public,41074,
California State University-Stanislaus,CA,Public,41072,
Florida State University,FL,Public,41067,
Appalachian State University,NC,Public,41002,
Massachusetts College of Art and Design,MA,Public,40999,
Minnesota State University Moorhead,MN,Public,40960,
Milwaukee Institute of Art & Design,WI,"Private, nonprofit",40952,
California State University-Los Angeles,CA,Public,40783,
University of California-Riverside,CA,Public,40774,
Portland State University,OR,Public,40731,
Radford University,VA,Public,40679,
Florida International University,FL,Public,40653,
Agnes Scott College,GA,"Private, nonprofit",40587,
Rhode Island School of Design,RI,"Private, nonprofit",40568,
Athens State University,AL,Public,40502,
University of California-Davis,CA,Public,40453,
Missouri Southern State University,MO,Public,40402,
Missouri State University-Springfield,MO,Public,40386,
Southeastern Louisiana University,LA,Public,40307,
University of Northern Iowa,IA,Public,40288,
Central Washington University,WA,Public,40251,
Kean University,NJ,Public,40213,
Lander University,SC,Public,40202,
Central Michigan University,MI,Public,40181,
University of California-Santa Cruz,CA,Public,40156,
Pennsylvania State University-Main Campus,PA,Public,40036,
Pennsylvania State University-Penn State Mont Alto,PA,Public,40036,
Pennsylvania State University-Penn State Abington,PA,Public,40036,
Pennsylvania State University-World Campus,PA,Public,40036,
Kansas State University,KS,Public,39991,
Lee University,TN,"Private, nonprofit",39988,
Fashion Institute of Technology,NY,Public,39930,
Eastern Illinois University,IL,Public,39923,
California State University-Fresno,CA,Public,39878,
Western Colorado University,CO,Public,39865,
Mount St. Mary's University,MD,"Private, nonprofit",39651,
Nicholls State University,LA,Public,39637,
Sam Houston State University,TX,Public,39565,
University of North Alabama,AL,Public,39550,
University of South Carolina-Columbia,SC,Public,39517,
Central Connecticut State University,CT,Public,39387,
University of Florida,FL,Public,39332,
Grand Valley State University,MI,Public,39307,
Fort Hays State University,KS,Public,39280,
Wayne State University,MI,Public,39271,
Cornish College of the Arts,WA,"Private, nonprofit",39242,
University of Missouri-Kansas City,MO,Public,39194,
Ferris State University,MI,Public,39165,
Shippensburg University of Pennsylvania,PA,Public,39127,
University of Oklahoma-Norman Campus,OK,Public,39106,
Ohio University-Eastern Campus,OH,Public,39055,
Ohio University-Chillicothe Campus,OH,Public,39055,
Ohio University-Southern Campus,OH,Public,39055,
Ohio University-Lancaster Campus,OH,Public,39055,
Ohio University-Main Campus,OH,Public,39055,
Ohio University-Zanesville Campus,OH,Public,39055,
University of California-Irvine,CA,Public,39010,
Otis College of Art and Design,CA,"Private, nonprofit",38997,
Alfred University,NY,"Private, nonprofit",38877,
Clark University,MA,"Private, nonprofit",38844,
University of South Florida,FL,Public,38820,
Indiana University-South Bend,IN,Public,38663,
University of Southern Indiana,IN,Public,38619,
State University of New York at Plattsburgh,NY,Public,38407,
University of Nevada-Las Vegas,NV,Public,38390,
Wheaton College (Massachusetts),MA,"Private, nonprofit",38389,
College of Charleston,SC,Public,38378,
Wheaton College,IL,"Private, nonprofit",38363,
University of Kansas,KS,Public,38355,
Indiana State University,IN,Public,38331,
University of Houston-Clear Lake,TX,Public,38330,
Cornell College,IA,"Private, nonprofit",38299,
Art Institute of Philadelphia (The) -,,"Private, for-profit",38199,
Murray State University,KY,Public,38192,
Full Sail University,FL,"Private, for-profit",38124,
Stephen F Austin State University,TX,Public,38042,
Castleton University,VT,Public,37925,
Northern Vermont University,VT,Public,37925,
Vermont State University,VT,Public,37925,
Slippery Rock University of Pennsylvania,PA,Public,37922,
CUNY Queens College,NY,Public,37764,
Argosy University,,"Private, for-profit",37764,
Tennessee Technological University,TN,Public,37730,
Purdue University Fort Wayne,IN,Public,37718,
Kansas City Art Institute,MO,"Private, nonprofit",37718,
Pennsylvania Western University,,Public,37684,
University of New Haven,CT,"Private, nonprofit",37642,
Wichita State University,KS,Public,37604,
Illinois Institute of Art (The),,"Private, for-profit",37576,
University of Central Oklahoma,OK,Public,37490,
Arcadia University,PA,"Private, nonprofit",37489,
Winthrop University,SC,Public,37440,
The University of Tennessee-Chattanooga,TN,Public,37293,
Troy University,AL,Public,37264,
SUNY Old Westbury,NY,Public,37203,
Montserrat College of Art,MA,"Private, nonprofit",37179,
Georgia College & State University,GA,Public,37109,
DePaul University,IL,"Private, nonprofit",37085,
University of Cincinnati-Main Campus,OH,Public,37025,
Art Institute of Las Vegas (The),,"Private, for-profit",37005,
The University of Texas at El Paso,TX,Public,36854,
University of North Carolina at Pembroke,NC,Public,36793,
Southern Illinois University Edwardsville,IL,Public,36717,
Art Institute of Portland (The),,"Private, for-profit",36704,
Western Michigan University,MI,Public,36615,
Cleveland State University,OH,Public,36603,
Youngstown State University,OH,Public,36539,
Southeast Missouri State University,MO,Public,36531,
State University of New York at Oswego,NY,Public,36511,
Mount Holyoke College,MA,"Private, nonprofit",36483,
University of Louisiana at Lafayette,LA,Public,36472,
Art Institute of Pittsburgh (The),,"Private, for-profit",36471,
University of the Incarnate Word,TX,"Private, nonprofit",36447,
University of Central Missouri,MO,Public,36421,
Spalding University,KY,"Private, nonprofit",36416,
Memphis College of Art,,"Private, nonprofit",36414,
Southern Connecticut State University,CT,Public,36387,
Ringling College of Art and Design,FL,"Private, nonprofit",36346,
Tennessee State University,TN,Public,36332,
University of Akron Main Campus,OH,Public,36233,
Northern Michigan University,MI,Public,36228,
Bowling Green State University-Main Campus,OH,Public,36036,
Coastal Carolina University,SC,Public,36007,
University of Montevallo,AL,Public,35921,
Kent State University at Stark,OH,Public,35710,
Kent State University at Kent,OH,Public,35710,
Western Illinois University,IL,Public,35703,
University of North Carolina at Greensboro,NC,Public,35628,
University of South Carolina-Upstate,SC,Public,35612,
Columbus State University,GA,Public,35560,
University of New Mexico-Main Campus,NM,Public,35527,
Clemson University,SC,Public,35526,
Flagler College,FL,"Private, nonprofit",35458,
Brigham Young University-Idaho,ID,"Private, nonprofit",35443,
Colorado State University Pueblo,CO,Public,35436,
San Diego State University,CA,Public,35416,
Eastern Kentucky University,KY,Public,35365,
Western Washington University,WA,Public,35161,
University of Maryland-Baltimore County,MD,Public,35125,
The University of Texas Rio Grande Valley,TX,Public,35115,
Lycoming College,PA,"Private, nonprofit",34936,
Stony Brook University,NY,Public,34904,
McNeese State University,LA,Public,34891,
University of Wisconsin-La Crosse,WI,Public,34880,
California State Polytechnic University-Humboldt,CA,Public,34812,
Angelo State University,TX,Public,34802,
George Washington University,DC,"Private, nonprofit",34734,
Maine College of Art & Design,ME,"Private, nonprofit",34720,
Wright State University-Main Campus,OH,Public,34704,
Simon's Rock at Bard College,NY,"Private, nonprofit",34667,
Bard College,NY,"Private, nonprofit",34667,
Georgia Southern University,GA,Public,34659,
The University of Tennessee-Knoxville,TN,Public,34609,
American Academy of Art College,IL,"Private, for-profit",34562,
East Tennessee State University,TN,Public,34516,
University of Hawaii at Manoa,HI,Public,34383,
Emporia State University,KS,Public,34355,
Kutztown University of Pennsylvania,PA,Public,34337,
School of Visual Arts,NY,"Private, for-profit",34286,
Maryland Institute College of Art,MD,"Private, nonprofit",34283,
Shawnee State University,OH,Public,34215,
Northern Arizona University,AZ,Public,34073,
AI Miami International University of Art and Design,FL,"Private, for-profit",34052,
Miami International University of Art & Design-Art Institute Dallas,TX,"Private, for-profit",34052,
California State University-Monterey Bay,CA,Public,34006,
Austin Peay State University,TN,Public,33880,
Weber State University,UT,Public,33697,
Commonwealth University of Pennsylvania,,Public,33682,
University of Toledo,OH,Public,33409,
Utah Tech University,UT,Public,33327,
Texas A & M International University,TX,Public,33313,
SUNY Oneonta,NY,Public,33299,
Cleveland Institute of Art,OH,"Private, nonprofit",33253,
Art Center College of Design,CA,"Private, nonprofit",33073,
The Art Institute of Atlanta,GA,"Private, for-profit",32854,
The Art Institute of Virginia Beach,VA,"Private, for-profit",32854,
Marshall University,WV,Public,32723,
Minneapolis College of Art and Design,MN,"Private, nonprofit",32667,
Seattle Pacific University,WA,"Private, nonprofit",32456,
Morehead State University,KY,Public,32257,
Willamette University,OR,"Private, nonprofit",32256,
University of Massachusetts-Dartmouth,MA,Public,32222,
Colorado Mesa University,CO,Public,32144,
Columbus College of Art & Design,OH,"Private, nonprofit",32061,
Texas A & M University-Corpus Christi,TX,Public,32043,
University of South Carolina Aiken,SC,Public,31931,
Auburn University at Montgomery,AL,Public,31804,
University of Wisconsin-Parkside,WI,Public,31577,
Institute of American Indian and Alaska Native Culture and Arts Development,NM,Public,31541,
Valdosta State University,GA,Public,31539,
North Carolina A & T State University,NC,Public,31202,
Art Academy of Cincinnati,OH,"Private, nonprofit",31166,
Pennsylvania Academy of the Fine Arts,PA,"Private, nonprofit",31131,
Auburn University,AL,Public,31025,
SUNY College at Potsdam,NY,Public,30688,
University of Arkansas at Little Rock,AR,Public,30592,
Western Oregon University,OR,Public,30437,
California State University-San Bernardino,CA,Public,30319,
The Art Institute of Houston,TX,"Private, for-profit",30025,
The Art Institute of Austin,TX,"Private, for-profit",30025,
The Art Institute of San Antonio,TX,"Private, for-profit",30025,
Washburn University,KS,Public,29659,
The University of Montana,MT,Public,29606,
Francis Marion University,SC,Public,29602,
University of South Alabama,AL,Public,29506,
Berea College,KY,"Private, nonprofit",29013,
Southern Arkansas University Main Campus,AR,Public,28938,
California Institute of the Arts,CA,"Private, nonprofit",28617,
University of Science and Arts of Oklahoma,OK,Public,28426,
Laguna College of Art and Design,CA,"Private, nonprofit",27815,
Keystone College,PA,"Private, nonprofit",27094,
Hollins University,VA,"Private, nonprofit",27014,
University of New Orleans,LA,Public,26737,
Augusta University,,Public,25770,
The Cooper Union for the Advancement of Science and Art,NY,"Private, nonprofit",24920,
University of Puerto Rico-Rio Piedras,PR,Public,24409,
Escuela de Artes Plasticas y Diseno de Puerto Rico,PR,Public,23194,
West Virginia State University,WV,Public,22764,
San Francisco Art Institute,CA,"Private, nonprofit",18418,
University of Puerto Rico-Mayaguez,PR,Public,16981,
