Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
University of California-Irvine,CA,Public,56457,
North Central College,IL,"Private, nonprofit",56281,
University of Kentucky,KY,Public,56266,
Spring Hill College,AL,"Private, nonprofit",56160,
The College of Wooster,OH,"Private, nonprofit",56115,
North Dakota State University-Main Campus,ND,Public,56040,
Walsh University,OH,"Private, nonprofit",55867,
McDaniel College,MD,"Private, nonprofit",55851,
Iowa State University,IA,Public,55714,
CUNY City College,NY,Public,55683,
University of California-Riverside,CA,Public,55682,
University of California-San Diego,CA,Public,55534,
Wayne State University,MI,Public,55499,
University of Illinois Urbana-Champaign,IL,Public,55393,
University of Massachusetts-Lowell,MA,Public,55361,
University of California-Santa Cruz,CA,Public,55338,
University of Arizona,AZ,Public,55300,
University of Oregon,OR,Public,55204,
Rutgers University-Camden,NJ,Public,55197,
Rutgers University-New Brunswick,NJ,Public,55197,
Rutgers University-Newark,NJ,Public,55197,
Ramapo College of New Jersey,NJ,Public,55161,
California State University-Dominguez Hills,CA,Public,55100,
University of Missouri-Columbia,MO,Public,55098,
Eastern Connecticut State University,CT,Public,55084,
Purdue University-Main Campus,IN,Public,55072,
Christopher Newport University,VA,Public,55057,
Duquesne University,PA,"Private, nonprofit",55050,
CUNY Lehman College,NY,Public,54906,
University of New Hampshire-Main Campus,NH,Public,54785,
Clemson University,SC,Public,54780,
Dominican University,IL,"Private, nonprofit",54686,
Arizona State University Campus Immersion,AZ,Public,54611,
Arizona State University Digital Immersion,,Public,54611,
West Virginia University,WV,Public,54596,
University of Vermont,VT,Public,54529,
California State University-Northridge,CA,Public,54500,
University of Iowa,IA,Public,54464,
Louisiana State University and Agricultural & Mechanical College,LA,Public,54442,
American Public University System,WV,"Private, for-profit",54432,
The University of Texas at Arlington,TX,Public,54401,
University at Buffalo,NY,Public,54382,
University of San Diego,CA,"Private, nonprofit",54338,
Millersville University of Pennsylvania,PA,Public,54329,
Western Washington University,WA,Public,54263,
Bridgewater State University,MA,Public,54224,
Frostburg State University,MD,Public,54197,
Sacred Heart University,CT,"Private, nonprofit",54183,
University of Southern Indiana,IN,Public,54144,
Radford University,VA,Public,54122,
California Baptist University,CA,"Private, nonprofit",54060,
University of Illinois Chicago,IL,Public,53962,
University of Rhode Island,RI,Public,53802,
Washington College,MD,"Private, nonprofit",53799,
St Bonaventure University,NY,"Private, nonprofit",53783,
Portland State University,OR,Public,53753,
Northeastern Illinois University,IL,Public,53747,
Old Dominion University,VA,Public,53734,
Albright College,PA,"Private, nonprofit",53702,
University of Hawaii at Manoa,HI,Public,53696,
University of North Texas at Dallas,,Public,53689,
The University of Tennessee-Knoxville,TN,Public,53635,
State University of New York at Cortland,NY,Public,53524,
University of Michigan-Flint,MI,Public,53484,
Jacksonville University,FL,"Private, nonprofit",53457,
Texas State University,TX,Public,53434,
SUNY Oneonta,NY,Public,53396,
San Diego State University,CA,Public,53387,
Beloit College,WI,"Private, nonprofit",53351,
University of South Carolina-Columbia,SC,Public,53293,
California State University-San Marcos,CA,Public,53287,
East Stroudsburg University of Pennsylvania,PA,Public,53273,
William Paterson University of New Jersey,NJ,Public,53253,
University of Northern Iowa,IA,Public,53198,
Virginia Commonwealth University,VA,Public,53122,
Elmhurst University,IL,"Private, nonprofit",53075,
SUNY at Purchase College,NY,Public,53042,
DePaul University,IL,"Private, nonprofit",52791,
California State Polytechnic University-Pomona,CA,Public,52694,
California State University-Bakersfield,CA,Public,52618,
Truman State University,MO,Public,52584,
University of Nevada-Reno,NV,Public,52564,
Saint Cloud State University,MN,Public,52455,
McKendree University,IL,"Private, nonprofit",52428,
Metropolitan State University of Denver,CO,Public,52414,
California State University-Chico,CA,Public,52323,
Southern Connecticut State University,CT,Public,52249,
Lewis & Clark College,OR,"Private, nonprofit",52232,
University of Central Florida,FL,Public,52197,
Texas Woman's University,TX,Public,52196,
North Carolina State University at Raleigh,NC,Public,52142,
Kennesaw State University,,Public,52125,
Morgan State University,MD,Public,52116,
University of New Mexico-Main Campus,NM,Public,52094,
Montclair State University,NJ,Public,52053,
Central College,IA,"Private, nonprofit",51996,
California State University-Long Beach,CA,Public,51982,
CUNY John Jay College of Criminal Justice,NY,Public,51979,
South Dakota State University,SD,Public,51910,
University of Idaho,ID,Public,51873,
Western Michigan University,MI,Public,51835,
University of North Carolina at Chapel Hill,NC,Public,51801,
The University of Montana,MT,Public,51708,
University of Pittsburgh-Bradford,PA,Public,51654,
University of Pittsburgh-Johnstown,PA,Public,51654,
University of Pittsburgh-Pittsburgh Campus,PA,Public,51654,
Minnesota State University-Mankato,MN,Public,51618,
Salem State University,MA,Public,51573,
State University of New York at Oswego,NY,Public,51537,
Texas Tech University,TX,Public,51527,
University of Dubuque,IA,"Private, nonprofit",51512,
Chicago State University,IL,Public,51485,
Southern Illinois University Edwardsville,IL,Public,51465,
University of Maryland-Baltimore County,MD,Public,51421,
Ohio University-Eastern Campus,OH,Public,51312,
Ohio University-Chillicothe Campus,OH,Public,51312,
Ohio University-Southern Campus,OH,Public,51312,
Ohio University-Lancaster Campus,OH,Public,51312,
Ohio University-Main Campus,OH,Public,51312,
Ohio University-Zanesville Campus,OH,Public,51312,
State University of New York at New Paltz,NY,Public,51290,
University of Oklahoma-Norman Campus,OK,Public,51277,
Kansas State University,KS,Public,51237,
Kean University,NJ,Public,51122,
SUNY College at Potsdam,NY,Public,51086,
University of Florida,FL,Public,51039,
University of Florida-Online,,Public,51039,
The University of Arizona Global Campus,AZ,"Private, for-profit",51004,
Illinois State University,IL,Public,51000,
Commonwealth University of Pennsylvania,,Public,50984,
Florida Atlantic University,FL,Public,50983,
California State University-Fullerton,CA,Public,50922,
Tulane University of Louisiana,LA,"Private, nonprofit",50847,
University of Wisconsin-Whitewater,WI,Public,50827,
Northern State University,SD,Public,50765,
University of Wisconsin-La Crosse,WI,Public,50737,
Florida State University,FL,Public,50612,
University of California-Merced,CA,Public,50468,
Ohio State University-Mansfield Campus,OH,Public,50457,
Ohio State University-Main Campus,OH,Public,50457,
University of Louisville,KY,Public,50397,
Morehead State University,KY,Public,50331,
California State University-Los Angeles,CA,Public,50249,
Saint Leo University,FL,"Private, nonprofit",50231,
Hope College,MI,"Private, nonprofit",50222,
University of Hartford,CT,"Private, nonprofit",50178,
University of Minnesota-Duluth,MN,Public,50174,
University of Cincinnati-Main Campus,OH,Public,50165,
Lincoln University,PA,Public,50141,
Florida Gulf Coast University,FL,Public,50136,
University of Utah,UT,Public,50087,
Western Illinois University,IL,Public,50080,
University of Missouri-Kansas City,MO,Public,49936,
Utah State University,UT,Public,49861,
Black Hills State University,SD,Public,49833,
University of North Carolina at Charlotte,NC,Public,49765,
University of North Dakota,ND,Public,49665,
University of Colorado Denver/Anschutz Medical Campus,CO,Public,49619,
SUNY Buffalo State University,NY,Public,49595,
Columbia College,MO,"Private, nonprofit",49542,
University of South Carolina Aiken,SC,Public,49530,
University of Wisconsin-Milwaukee,WI,Public,49486,
Framingham State University,MA,Public,49451,
Salisbury University,MD,Public,49411,
California State University-Fresno,CA,Public,49407,
Georgia State University,GA,Public,49333,
SUNY Old Westbury,NY,Public,49308,
University of North Texas,TX,Public,49257,
Pennsylvania State University-Penn State Harrisburg,PA,Public,49197,
Pennsylvania State University-Main Campus,PA,Public,49197,
Winona State University,MN,Public,49166,
Bridgewater College,VA,"Private, nonprofit",49139,
William Penn University,IA,"Private, nonprofit",49077,
Colorado State University Pueblo,CO,Public,48962,
California State University-San Bernardino,CA,Public,48954,
Eastern Illinois University,IL,Public,48925,
Purdue University Northwest,,Public,48830,
Capital University,OH,"Private, nonprofit",48785,
James Madison University,VA,Public,48774,
College of Charleston,SC,Public,48709,
Doane University,NE,"Private, nonprofit",48705,
Grand Valley State University,MI,Public,48664,
University of North Carolina Wilmington,NC,Public,48591,
University of Central Oklahoma,OK,Public,48562,
University of Nevada-Las Vegas,NV,Public,48528,
University of Wyoming,WY,Public,48508,
University of Wisconsin-Stevens Point,WI,Public,48451,
New Mexico State University-Main Campus,NM,Public,48419,
