Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
SUNY Buffalo State University,NY,Public,54561,
Doane University,NE,"Private, nonprofit",54475,
Brigham Young University,UT,"Private, nonprofit",54457,
University of Florida,FL,Public,54448,
Utah State University,UT,Public,54370,
Salisbury University,MD,Public,54262,
California Baptist University,CA,"Private, nonprofit",54239,
Grand Canyon University,AZ,"Private, for-profit",54209,
State University of New York at Plattsburgh,NY,Public,54187,
SUNY Oneonta,NY,Public,54151,
Portland State University,OR,Public,54131,
Northeastern Illinois University,IL,Public,54071,
Central Connecticut State University,CT,Public,54037,
University of Rhode Island,RI,Public,54001,
Clark University,MA,"Private, nonprofit",53926,
University of Wyoming,WY,Public,53868,
Stockton University,NJ,Public,53745,
Fairleigh Dickinson University-Metropolitan Campus,NJ,"Private, nonprofit",53737,
Fairleigh Dickinson University-Florham Campus,NJ,"Private, nonprofit",53737,
Purdue University-Main Campus,IN,Public,53708,
University of Colorado Denver/Anschutz Medical Campus,CO,Public,53686,
University of Pittsburgh-Greensburg,PA,Public,53682,
University of Pittsburgh-Johnstown,PA,Public,53682,
University of Pittsburgh-Pittsburgh Campus,PA,Public,53682,
University of Houston-Downtown,TX,Public,53555,
Quinnipiac University,CT,"Private, nonprofit",53500,
University of California-Irvine,CA,Public,53481,
Worcester State University,MA,Public,53455,
Allegheny College,PA,"Private, nonprofit",53454,
State University of New York at Oswego,NY,Public,53429,
Rider University,NJ,"Private, nonprofit",53311,
University of Maine,ME,Public,53204,
Virginia Commonwealth University,VA,Public,53186,
Hofstra University,NY,"Private, nonprofit",53027,
University of Portland,OR,"Private, nonprofit",53002,
California State University-San Marcos,CA,Public,52985,
The Catholic University of America,DC,"Private, nonprofit",52980,
Texas Tech University,TX,Public,52969,
Bridgewater State University,MA,Public,52936,
Iowa State University,IA,Public,52934,
Gettysburg College,PA,"Private, nonprofit",52904,
Southern Illinois University-Carbondale,IL,Public,52900,
Pennsylvania State University-Penn State Erie-Behrend College,PA,Public,52871,
Pennsylvania State University-Penn State Altoona,PA,Public,52871,
Pennsylvania State University-Main Campus,PA,Public,52871,
Pennsylvania State University-Penn State Abington,PA,Public,52871,
Pennsylvania State University-World Campus,PA,Public,52871,
Texas Woman's University,TX,Public,52836,
CUNY City College,NY,Public,52809,
Illinois State University,IL,Public,52757,
The University of Texas at San Antonio,TX,Public,52655,
Temple University,PA,Public,52584,
Minnesota State University-Mankato,MN,Public,52550,
Rowan University,NJ,Public,52523,
University of West Georgia,GA,Public,52514,
The University of Tennessee-Knoxville,TN,Public,52505,
Christopher Newport University,VA,Public,52458,
California State University-Long Beach,CA,Public,52423,
University of Northern Colorado,CO,Public,52423,
CUNY Queens College,NY,Public,52406,
Texas State University,TX,Public,52329,
Shippensburg University of Pennsylvania,PA,Public,52310,
Montana State University,MT,Public,52187,
Montclair State University,NJ,Public,52160,
Colorado State University-Fort Collins,CO,Public,52144,
University of Southern Indiana,IN,Public,52002,
University of California-Riverside,CA,Public,51913,
University of Arizona,AZ,Public,51737,
California State University-Fresno,CA,Public,51676,
Texas A & M International University,TX,Public,51564,
Westfield State University,MA,Public,51439,
California State Polytechnic University-Pomona,CA,Public,51217,
Middle Tennessee State University,TN,Public,51206,
George Mason University,VA,Public,51168,
Washington College,MD,"Private, nonprofit",51167,
Centre College,KY,"Private, nonprofit",51094,
State University of New York at Cortland,NY,Public,51043,
St. John's University-New York,NY,"Private, nonprofit",51024,
East Texas A&M University,TX,Public,50988,
Millersville University of Pennsylvania,PA,Public,50943,
Colorado State University Pueblo,CO,Public,50874,
Ball State University,IN,Public,50838,
The University of Tennessee-Chattanooga,TN,Public,50756,
University of Wisconsin-La Crosse,WI,Public,50745,
University of Georgia,GA,Public,50721,
Bowling Green State University-Main Campus,OH,Public,50693,
University of Idaho,ID,Public,50628,
The University of Texas Rio Grande Valley,TX,Public,50620,
Mount St. Mary's University,MD,"Private, nonprofit",50563,
University at Buffalo,NY,Public,50518,
The University of Texas at El Paso,TX,Public,50510,
Stony Brook University,NY,Public,50444,
Texas A & M University-Corpus Christi,TX,Public,50387,
Tarleton State University,TX,Public,50385,
Eastern Washington University,WA,Public,50286,
Wayne State University,MI,Public,50251,
The University of Alabama,AL,Public,50213,
Miami University-Oxford,OH,Public,50199,
Clemson University,SC,Public,50125,
Nicholls State University,LA,Public,50107,
Duquesne University,PA,"Private, nonprofit",50090,
Sam Houston State University,TX,Public,50084,
Texas A&M University-San Antonio,,Public,50062,
Kansas State University,KS,Public,50016,
Ohio State University-Lima Campus,OH,Public,49986,
Ohio State University-Mansfield Campus,OH,Public,49986,
Ohio State University-Marion Campus,OH,Public,49986,
Ohio State University-Newark Campus,OH,Public,49986,
Ohio State University-Main Campus,OH,Public,49986,
University of Arkansas,AR,Public,49972,
SUNY Old Westbury,NY,Public,49972,
Western Connecticut State University,CT,Public,49967,
California State University-Stanislaus,CA,Public,49882,
The University of Arizona Global Campus,AZ,"Private, for-profit",49773,
Framingham State University,MA,Public,49656,
Boise State University,ID,Public,49625,
University of North Florida,FL,Public,49611,
Salem State University,MA,Public,49572,
The University of Tennessee-Martin,TN,Public,49555,
SUNY College at Geneseo,NY,Public,49551,
University of North Carolina at Pembroke,NC,Public,49535,
Assumption University,MA,"Private, nonprofit",49526,
North Carolina State University at Raleigh,NC,Public,49500,
