Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Auburn University,AL,Public,39566,
State University of New York at New Paltz,NY,Public,39521,
University of Wisconsin-Whitewater,WI,Public,39521,
University of Wisconsin-Milwaukee,WI,Public,39452,
Oakland University,MI,Public,39442,
Boston University,MA,"Private, nonprofit",39322,
Montclair State University,NJ,Public,39248,
The New School,NY,"Private, nonprofit",39248,
Belhaven University,MS,"Private, nonprofit",39109,
Arcadia University,PA,"Private, nonprofit",39087,
University of California-Los Angeles,CA,Public,39023,
University of Central Oklahoma,OK,Public,38914,
Santa Fe University of Art and Design,,"Private, for-profit",38866,
The University of Texas Rio Grande Valley,TX,Public,38865,
Millikin University,IL,"Private, nonprofit",38666,
Rowan University,NJ,Public,38597,
Drew University,NJ,"Private, nonprofit",38562,
Old Dominion University,VA,Public,38537,
Southern Oregon University,OR,Public,38487,
University of Kentucky,KY,Public,38475,
University of Memphis,TN,Public,38440,
Northern Arizona University,AZ,Public,38380,
Kennesaw State University,,Public,38348,
Louisiana State University and Agricultural & Mechanical College,LA,Public,38317,
California State University-Long Beach,CA,Public,38270,
Georgia Southern University,GA,Public,38107,
Otterbein University,OH,"Private, nonprofit",38023,
Missouri State University-Springfield,MO,Public,37959,
Roosevelt University,IL,"Private, nonprofit",37748,
Adelphi University,NY,"Private, nonprofit",37630,
University of Wisconsin-Stevens Point,WI,Public,37507,
Ohio State University-Lima Campus,OH,Public,37445,
Ohio State University-Main Campus,OH,Public,37445,
Pace University,NY,"Private, nonprofit",37213,
University of Alabama at Birmingham,AL,Public,37173,
Grand Canyon University,AZ,"Private, for-profit",37142,
University of Wisconsin-Parkside,WI,Public,37110,
Bowling Green State University-Main Campus,OH,Public,37094,
Temple University,PA,Public,36994,
Brenau University,GA,"Private, nonprofit",36910,
Anderson University,SC,"Private, nonprofit",36872,
University of Illinois Chicago,IL,Public,36792,
Northern Illinois University,IL,Public,36777,
Dean College,MA,"Private, nonprofit",36724,
California Polytechnic State University-San Luis Obispo,CA,Public,36697,Yes
Eastern Michigan University,MI,Public,36621,
Flagler College,FL,"Private, nonprofit",36506,
The University of Texas at Arlington,TX,Public,36457,
Kent State University at Trumbull,OH,Public,36429,
Kent State University at Kent,OH,Public,36429,
Sam Houston State University,TX,Public,36389,
University of Southern Indiana,IN,Public,36348,
Baldwin Wallace University,OH,"Private, nonprofit",36251,
Northwestern State University of Louisiana,LA,Public,36229,
Cleveland State University,OH,Public,36174,
Nazareth University,NY,"Private, nonprofit",36117,
University of North Carolina Wilmington,NC,Public,35956,
Academy of Art University,CA,"Private, for-profit",35870,
Southern Methodist University,TX,"Private, nonprofit",35844,
Plymouth State University,NH,Public,35646,
Northern Kentucky University,KY,Public,35624,
University of Idaho,ID,Public,35407,
Indiana University of Pennsylvania,PA,Public,35286,
Stephens College,MO,"Private, nonprofit",35235,
Savannah College of Art and Design,GA,"Private, nonprofit",35177,
Wright State University-Main Campus,OH,Public,35148,
California State University-Los Angeles,CA,Public,35097,
University of Wyoming,WY,Public,35028,
Western Kentucky University,KY,Public,34987,
Columbus State University,GA,Public,34931,
Seton Hill University,PA,"Private, nonprofit",34890,
Molloy University,NY,"Private, nonprofit",34822,
University of Maryland-Baltimore County,MD,Public,34778,
East Stroudsburg University of Pennsylvania,PA,Public,34674,
University of Miami,FL,"Private, nonprofit",34667,
Colorado State University-Fort Collins,CO,Public,34552,
Western Carolina University,NC,Public,34516,
Ohio Northern University,OH,"Private, nonprofit",34445,
California State University-Fresno,CA,Public,34320,
Le Moyne College,NY,"Private, nonprofit",34283,
University of Rhode Island,RI,Public,33972,
Georgia College & State University,GA,Public,33965,
Coastal Carolina University,SC,Public,33962,
Florida International University,FL,Public,33896,
Central Washington University,WA,Public,33800,
Fairleigh Dickinson University-Metropolitan Campus,NJ,"Private, nonprofit",33749,
Fairleigh Dickinson University-Florham Campus,NJ,"Private, nonprofit",33749,
SUNY College at Potsdam,NY,Public,33581,
Middle Tennessee State University,TN,Public,33179,
University of Southern Maine,ME,Public,33005,
CUNY City College,NY,Public,32769,
Wayne State University,MI,Public,32525,
Minnesota State University-Mankato,MN,Public,32199,
Kean University,NJ,Public,32107,
New York Film Academy,CA,"Private, for-profit",32057,
American Musical and Dramatic Academy,NY,"Private, nonprofit",32008,
CUNY Queens College,NY,Public,31239,
Illinois Wesleyan University,IL,"Private, nonprofit",31172,
Ouachita Baptist University,AR,"Private, nonprofit",31155,
Viterbo University,WI,"Private, nonprofit",31051,
Western Oregon University,OR,Public,31048,
University of Southern Mississippi,MS,Public,30864,
University of California-Santa Cruz,CA,Public,30524,
University of Toledo,OH,Public,30451,
New Mexico State University-Main Campus,NM,Public,30355,
University of Iowa,IA,Public,30231,
Texas Tech University,TX,Public,30074,
Frostburg State University,MD,Public,29679,
Alabama State University,AL,Public,29142,
University of New Orleans,LA,Public,28807,
The University of Tampa,FL,"Private, nonprofit",28709,
East Tennessee State University,TN,Public,28062,
Brigham Young University,UT,"Private, nonprofit",26782,
Bennington College,VT,"Private, nonprofit",23575,
Universidad del Sagrado Corazon,PR,"Private, nonprofit",23261,
University of Puerto Rico-Rio Piedras,PR,Public,21825,
Florida Atlantic University,FL,Public,20673,
