Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Miami University-Middletown,OH,Public,58255,
Miami University-Oxford,OH,Public,58255,
Saint Mary's College,IN,"Private, nonprofit",58218,
Shenandoah University,VA,"Private, nonprofit",58144,
Stony Brook University,NY,Public,58137,
Valparaiso University,IN,"Private, nonprofit",58104,
Seattle University,WA,"Private, nonprofit",57993,
Le Moyne College,NY,"Private, nonprofit",57984,
SUNY College at Geneseo,NY,Public,57972,
University of Connecticut,CT,Public,57961,
University of Connecticut-Waterbury Campus,CT,Public,57961,
University of Connecticut-Avery Point,CT,Public,57961,
University of Connecticut-Stamford,CT,Public,57961,
University of Connecticut-Hartford Campus,,Public,57961,
Maryville University of Saint Louis,MO,"Private, nonprofit",57922,
Illinois Wesleyan University,IL,"Private, nonprofit",57839,
Heritage University,WA,"Private, nonprofit",57815,
Western New England University,MA,"Private, nonprofit",57681,
Oregon State University,OR,Public,57650,
Oregon State University-Cascades Campus,OR,Public,57650,
Alliance University,NY,"Private, nonprofit",57613,
University of Maryland-College Park,MD,Public,57575,
University of Massachusetts-Lowell,MA,Public,57489,
University of North Carolina at Chapel Hill,NC,Public,57477,
College of Saint Benedict,MN,"Private, nonprofit",57475,
Sonoma State University,CA,Public,57335,
Stevenson University,MD,"Private, nonprofit",57285,
Furman University,SC,"Private, nonprofit",57264,
Worcester State University,MA,Public,57244,
St Bonaventure University,NY,"Private, nonprofit",57215,
Roger Williams University,RI,"Private, nonprofit",57212,
CUNY Queens College,NY,Public,57210,
Rider University,NJ,"Private, nonprofit",57202,
Monmouth University,NJ,"Private, nonprofit",57159,
Fisk University,TN,"Private, nonprofit",57147,
University of Florida,FL,Public,57053,
University of Florida-Online,,Public,57053,
Washington & Jefferson College,PA,"Private, nonprofit",57026,
Chatham University,PA,"Private, nonprofit",56980,
Caldwell University,NJ,"Private, nonprofit",56977,
Central College,IA,"Private, nonprofit",56941,
University of La Verne,CA,"Private, nonprofit",56925,
Simpson University,CA,"Private, nonprofit",56902,
University of Colorado Boulder,CO,Public,56867,
Lesley University,MA,"Private, nonprofit",56837,
The University of Texas at Austin,TX,Public,56821,
Saint Ambrose University,IA,"Private, nonprofit",56803,
Occidental College,CA,"Private, nonprofit",56800,
Morgan State University,MD,Public,56741,
High Point University,NC,"Private, nonprofit",56712,
Rivier University,NH,"Private, nonprofit",56686,
Washington State University,WA,Public,56681,
Loyola University Chicago,IL,"Private, nonprofit",56658,
Saint Joseph's University - Philadelphia,PA,"Private, nonprofit",56647,
University of Rhode Island,RI,Public,56571,
Bellevue University,NE,"Private, nonprofit",56540,
Colby-Sawyer College,NH,"Private, nonprofit",56533,
Rutgers University-Camden,NJ,Public,56479,
Rutgers University-New Brunswick,NJ,Public,56479,
Rutgers University-Newark,NJ,Public,56479,
Luther College,IA,"Private, nonprofit",56469,
CUNY Medgar Evers College,NY,Public,56458,
University of Oklahoma-Norman Campus,OK,Public,56458,
Saint Johns University,MN,"Private, nonprofit",56446,
Touro University,NY,"Private, nonprofit",56443,
Marian University,WI,"Private, nonprofit",56434,
University of California-Irvine,CA,Public,56380,
State University of New York at Cortland,NY,Public,56366,
Virginia Polytechnic Institute and State University,VA,Public,56365,
CUNY City College,NY,Public,56223,
James Madison University,VA,Public,56212,
University of Denver,CO,"Private, nonprofit",56161,
University of New Hampshire-Main Campus,NH,Public,56153,
University of New Hampshire at Manchester,NH,Public,56153,
University of New Hampshire College of Professional Studies Online,NH,Public,56153,
Pace University,NY,"Private, nonprofit",56078,
North Park University,IL,"Private, nonprofit",56062,
Michigan State University,MI,Public,56040,
Fairleigh Dickinson University-Metropolitan Campus,NJ,"Private, nonprofit",55977,
Fairleigh Dickinson University-Florham Campus,NJ,"Private, nonprofit",55977,
Walden University,MN,"Private, for-profit",55974,
University of Bridgeport,CT,"Private, nonprofit",55958,
Moravian University,PA,"Private, nonprofit",55931,
San Francisco State University,CA,Public,55902,
Marymount University,VA,"Private, nonprofit",55869,
University of Missouri-Columbia,MO,Public,55839,
Metropolitan State University,MN,Public,55824,
William Jewell College,MO,"Private, nonprofit",55773,
University of Redlands,CA,"Private, nonprofit",55739,
Aurora University,IL,"Private, nonprofit",55697,
Augsburg University,MN,"Private, nonprofit",55673,
DePaul University,IL,"Private, nonprofit",55664,
Case Western Reserve University,OH,"Private, nonprofit",55540,
Arcadia University,PA,"Private, nonprofit",55517,
Seton Hall University,NJ,"Private, nonprofit",55501,
Towson University,MD,Public,55497,
Concordia University Ann Arbor,MI,"Private, nonprofit",55486,
Concordia University-Wisconsin,WI,"Private, nonprofit",55486,
Carroll University,WI,"Private, nonprofit",55446,
Creighton University,NE,"Private, nonprofit",55422,
Weber State University,UT,Public,55417,
Daemen University,NY,"Private, nonprofit",55412,
State University of New York at New Paltz,NY,Public,55378,
Thomas Jefferson University,PA,"Private, nonprofit",55371,
Bethel University,MN,"Private, nonprofit",55370,
University of North Dakota,ND,Public,55333,
University of Kansas,KS,Public,55329,
Georgetown College,KY,"Private, nonprofit",55295,
Lewis & Clark College,OR,"Private, nonprofit",55288,
Marymount Manhattan College,NY,"Private, nonprofit",55226,
California State University-San Marcos,CA,Public,55196,
University of Wisconsin-La Crosse,WI,Public,55173,
Regis College,MA,"Private, nonprofit",55170,
Clemson University,SC,Public,55126,
Keuka College,NY,"Private, nonprofit",55124,
Pacific Lutheran University,WA,"Private, nonprofit",55118,
Albright College,PA,"Private, nonprofit",55100,
University of New England,ME,"Private, nonprofit",55085,
Saint Anselm College,NH,"Private, nonprofit",55084,
University of New Haven,CT,"Private, nonprofit",55058,
Coe College,IA,"Private, nonprofit",55024,
University at Albany,NY,Public,55004,
Xavier University,OH,"Private, nonprofit",54981,
University of Dayton,OH,"Private, nonprofit",54909,
Colorado Christian University,CO,"Private, nonprofit",54887,
John Carroll University,OH,"Private, nonprofit",54870,
Morehouse College,GA,"Private, nonprofit",54867,
Albertus Magnus College,CT,"Private, nonprofit",54784,
North Dakota State University-Main Campus,ND,Public,54784,
Kalamazoo College,MI,"Private, nonprofit",54747,
Georgian Court University,NJ,"Private, nonprofit",54745,
Florida State University,FL,Public,54728,
Salem State University,MA,Public,54717,
American Public University System,WV,"Private, for-profit",54707,
Lasell University,MA,"Private, nonprofit",54702,
Carthage College,WI,"Private, nonprofit",54636,
George Fox University,OR,"Private, nonprofit",54568,
Central Washington University,WA,Public,54530,
Westfield State University,MA,Public,54484,
Wheaton College (Massachusetts),MA,"Private, nonprofit",54483,
California State University-East Bay,CA,Public,54436,
Calvin University,MI,"Private, nonprofit",54412,
The College of Saint Rose,NY,"Private, nonprofit",54410,
Clarke University,IA,"Private, nonprofit",54384,
University of Pittsburgh-Bradford,PA,Public,54379,
University of Pittsburgh-Greensburg,PA,Public,54379,
University of Pittsburgh-Johnstown,PA,Public,54379,
University of Pittsburgh-Pittsburgh Campus,PA,Public,54379,
Northwest University,WA,"Private, nonprofit",54357,
Northwest University-Center for Online and Extended Education,,"Private, nonprofit",54357,
Colorado Mesa University,CO,Public,54321,
University of Indianapolis,IN,"Private, nonprofit",54319,
Northeastern Illinois University,IL,Public,54301,
Life University,GA,"Private, nonprofit",54291,
University of Miami,FL,"Private, nonprofit",54290,
Felician University,NJ,"Private, nonprofit",54288,
Lake Forest College,IL,"Private, nonprofit",54270,
Colorado State University-Fort Collins,CO,Public,54268,
Ohio State University-Lima Campus,OH,Public,54182,
Ohio State University-Mansfield Campus,OH,Public,54182,
Ohio State University-Marion Campus,OH,Public,54182,
Ohio State University-Newark Campus,OH,Public,54182,
Ohio State University-Main Campus,OH,Public,54182,
The College of Idaho,ID,"Private, nonprofit",54179,
Suffolk University,MA,"Private, nonprofit",54117,
University of Scranton,PA,"Private, nonprofit",54088,
Bowie State University,MD,Public,54082,
California State University-Monterey Bay,CA,Public,54074,
CUNY Lehman College,NY,Public,54063,
University of Maryland-Baltimore County,MD,Public,54039,
University of Washington-Seattle Campus,WA,Public,54016,
University of Washington-Bothell Campus,WA,Public,54016,
University of Washington-Tacoma Campus,WA,Public,54016,
Benedictine University,IL,"Private, nonprofit",53994,
The Chicago School at Chicago,IL,"Private, nonprofit",53952,
The Chicago School at Los Angeles,CA,"Private, nonprofit",53952,
The Chicago School at San Diego,,"Private, nonprofit",53952,
The Chicago School at Dallas,,"Private, nonprofit",53952,
Framingham State University,MA,Public,53937,
York College of Pennsylvania,PA,"Private, nonprofit",53927,
Mount Saint Mary College,NY,"Private, nonprofit",53898,
Indiana University-Bloomington,IN,Public,53867,
University of Northern Iowa,IA,Public,53829,
Norwich University,VT,"Private, nonprofit",53775,
The University of Tampa,FL,"Private, nonprofit",53744,
Randolph-Macon College,VA,"Private, nonprofit",53687,
Bay Path University,MA,"Private, nonprofit",53682,
St Olaf College,MN,"Private, nonprofit",53666,
Marian University,IN,"Private, nonprofit",53635,
