Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Pennsylvania State University-Penn State Altoona,PA,Public,68918,
Pennsylvania State University-Penn State Berks,PA,Public,68918,
Pennsylvania State University-Penn State Harrisburg,PA,Public,68918,
Pennsylvania State University-Main Campus,PA,Public,68918,
Pennsylvania State University-Penn State York,PA,Public,68918,
Pennsylvania State University-World Campus,PA,Public,68918,
Smith College,MA,"Private, nonprofit",68916,
Chapman University,CA,"Private, nonprofit",68856,
Pitzer College,CA,"Private, nonprofit",68831,
Ripon College,WI,"Private, nonprofit",68800,
The College of Saint Rose,NY,"Private, nonprofit",68777,
University of Dayton,OH,"Private, nonprofit",68731,
Hampden-Sydney College,VA,"Private, nonprofit",68731,
Wofford College,SC,"Private, nonprofit",68661,
Grinnell College,IA,"Private, nonprofit",68518,
University of Rochester,NY,"Private, nonprofit",68510,
Citadel Military College of South Carolina,SC,Public,68504,
University of Utah,UT,Public,68490,
University of Richmond,VA,"Private, nonprofit",68339,
Roosevelt University,IL,"Private, nonprofit",68226,
Clark University,MA,"Private, nonprofit",68174,
Florida State University,FL,Public,68059,
Colorado State University-Fort Collins,CO,Public,67873,
University of California-Davis,CA,Public,67759,
University of California-San Diego,CA,Public,67713,
Saint Louis University,MO,"Private, nonprofit",67287,
Washington State University,WA,Public,67264,
Drake University,IA,"Private, nonprofit",67257,
Michigan State University,MI,Public,67032,
Louisiana State University and Agricultural & Mechanical College,LA,Public,67007,
Drew University,NJ,"Private, nonprofit",66965,
University of the District of Columbia,DC,Public,66952,
Southeast Missouri State University,MO,Public,66799,
Drexel University,PA,"Private, nonprofit",66756,
SUNY College at Geneseo,NY,Public,66670,
SUNY Oneonta,NY,Public,66572,
Muhlenberg College,PA,"Private, nonprofit",66540,
University of North Dakota,ND,Public,66535,
Arizona State University Campus Immersion,AZ,Public,66527,
Arizona State University Digital Immersion,,Public,66527,
Duquesne University,PA,"Private, nonprofit",66444,
Pace University,NY,"Private, nonprofit",66408,
Tuskegee University,AL,"Private, nonprofit",66391,
Spelman College,GA,"Private, nonprofit",66378,
Boston University,MA,"Private, nonprofit",66373,
Bridgewater College,VA,"Private, nonprofit",66305,
University of Denver,CO,"Private, nonprofit",66288,
University of Pittsburgh-Greensburg,PA,Public,66231,
University of Pittsburgh-Johnstown,PA,Public,66231,
University of Pittsburgh-Pittsburgh Campus,PA,Public,66231,
University of Delaware,DE,Public,66224,
University of Wisconsin-Madison,WI,Public,66148,
Ohio State University-Main Campus,OH,Public,65972,
University of Mississippi,MS,Public,65925,
University of Iowa,IA,Public,65923,
University of California-Santa Cruz,CA,Public,65890,
Sacred Heart University,CT,"Private, nonprofit",65879,
The University of Texas at Dallas,TX,Public,65869,
University of Southern Maine,ME,Public,65836,
University of Northern Colorado,CO,Public,65783,
Howard University,DC,"Private, nonprofit",65733,
Biola University,CA,"Private, nonprofit",65558,
Flagler College,FL,"Private, nonprofit",65513,
University of Minnesota-Twin Cities,MN,Public,65487,
University of South Carolina-Columbia,SC,Public,65464,
Christopher Newport University,VA,Public,65241,
CUNY Queens College,NY,Public,65213,
Sonoma State University,CA,Public,65009,
Marymount University,VA,"Private, nonprofit",64917,
Radford University,VA,Public,64901,
San Diego State University,CA,Public,64824,
Clemson University,SC,Public,64822,
University of South Florida,FL,Public,64820,
College of Saint Benedict,MN,"Private, nonprofit",64777,
