Institution,Median earnings 4 years after graduating,Cal Poly?
California Polytechnic State University-San Luis Obispo,59721,Yes
UC Berkeley,51699,
UC San Diego,48506,
UC Santa Barbara,46428,
UC Los Angeles,46173,
UC Riverside,40774,
UC Davis,40453,
UC Santa Cruz,40156,
UC Irvine,39010,
