Institution,Median earnings 4 years after graduating,Cal Poly?
California Polytechnic State University-San Luis Obispo,66518,Yes
UC Berkeley,64755,
UC San Diego,61745,
UC Santa Cruz,60519,
UC Los Angeles,59555,
UC Santa Barbara,59342,
UC Davis,57734,
UC Irvine,53481,
UC Riverside,51913,
UC Merced,44144,
