Institution,Median earnings 4 years after graduating,Cal Poly?
UC Berkeley,71363,
California Polytechnic State University-San Luis Obispo,69883,Yes
UC Los Angeles,64692,
UC Santa Barbara,60013,
UC Davis,59171,
UC Irvine,56457,
UC Riverside,55682,
UC San Diego,55534,
UC Santa Cruz,55338,
UC Merced,50468,
