Institution,Median earnings 4 years after graduating,Cal Poly?
California Polytechnic State University-San Luis Obispo,63413,Yes
UC Berkeley,60187,
UC Santa Barbara,59334,
UC Davis,59012,
UC Merced,58623,
UC San Diego,56097,
UC Los Angeles,55346,
UC Irvine,54299,
UC Riverside,50712,
