Institution,Median earnings 4 years after graduating,Cal Poly?
UC Davis,56823,
UC Berkeley,55555,
UC Santa Barbara,44106,
UC San Diego,41389,
UC Irvine,40773,
UC Los Angeles,39023,
California Polytechnic State University-San Luis Obispo,36697,Yes
UC Santa Cruz,30524,
