Institution,Median earnings 4 years after graduating,Cal Poly?
California Polytechnic State University-San Luis Obispo,81843,Yes
UC Berkeley,75128,
UC Los Angeles,74202,
UC Santa Barbara,70384,
UC Davis,67759,
UC San Diego,67713,
UC Santa Cruz,65890,
UC Irvine,63318,
UC Merced,62815,
UC Riverside,56740,
