Institution,Median earnings 4 years after graduating,Cal Poly?
UC Berkeley,62835,
UC Los Angeles,61050,
California Polytechnic State University-San Luis Obispo,60466,Yes
UC Santa Cruz,59948,
UC Irvine,56380,
UC Merced,53143,
UC San Diego,51679,
